,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,2891  ,中信金          ,"2,629,000","133,140","2,495,860"
1,2890  ,永豐金          ,"1,833,000","228,000","1,605,000"
2,2027  ,大成鋼          ,"1,552,000","8,000","1,544,000"
3,2885  ,元大金          ,"1,515,000","19,000","1,496,000"
4,1216  ,統一            ,"1,586,000","128,000","1,458,000"
5,2892  ,第一金          ,"1,280,000",0,"1,280,000"
6,2324  ,仁寶            ,"1,241,000","3,000","1,238,000"
7,2886  ,兆豐金          ,"1,134,000","20,981","1,113,019"
8,1101  ,台泥            ,"1,053,000",0,"1,053,000"
9,2455  ,全新            ,"1,048,000","30,000","1,018,000"
10,1402  ,遠東新          ,"1,370,000","393,000","977,000"
11,2887  ,台新金          ,"898,000",0,"898,000"
12,5876  ,上海商銀        ,"1,008,753","126,000","882,753"
13,2105  ,正新            ,"896,000","17,000","879,000"
14,3450  ,聯鈞            ,"871,000",0,"871,000"
15,2801  ,彰銀            ,"846,000",0,"846,000"
16,2356  ,英業達          ,"788,000","3,000","785,000"
17,2882  ,國泰金          ,"771,000","14,000","757,000"
18,1802  ,台玻            ,"750,000",0,"750,000"
19,3665  ,貿聯-KY         ,"950,000","224,000","726,000"
20,2327  ,國巨            ,"669,586","6,000","663,586"
21,0050  ,元大台灣50      ,"650,000",0,"650,000"
22,3017  ,奇鋐            ,"670,000","62,000","608,000"
23,6757  ,台灣虎航        ,"607,000",0,"607,000"
24,9938  ,百和            ,"574,000",0,"574,000"
25,2881  ,富邦金          ,"589,520","47,508","542,012"
26,2880  ,華南金          ,"574,000","40,409","533,591"
27,1102  ,亞泥            ,"620,249","89,429","530,820"
28,2845  ,遠東銀          ,"527,000",0,"527,000"
29,2883  ,凱基金          ,"502,000","29,000","473,000"
30,6446  ,藥華藥          ,"464,000",0,"464,000"
31,2379  ,瑞昱            ,"450,600","36,192","414,408"
32,6438  ,迅得            ,"379,000",0,"379,000"
33,3231  ,緯創            ,"404,000","37,000","367,000"
34,2049  ,上銀            ,"359,000",0,"359,000"
35,6890  ,來億-KY         ,"354,000",0,"354,000"
36,2330  ,台積電          ,"394,588","57,000","337,588"
37,2884  ,玉山金          ,"506,000","186,982","319,018"
38,3019  ,亞光            ,"264,000",0,"264,000"
39,5534  ,長虹            ,"264,000",0,"264,000"
40,2412  ,中華電          ,"336,416","87,221","249,195"
41,2454  ,聯發科          ,"475,913","252,769","223,144"
42,3653  ,健策            ,"253,631","34,000","219,631"
43,2357  ,華碩            ,"225,000","8,000","217,000"
44,3443  ,創意            ,"210,111","1,000","209,111"
45,2441  ,超豐            ,"214,000","7,000","207,000"
46,2610  ,華航            ,"199,000","12,000","187,000"
47,1504  ,東元            ,"196,000","14,000","182,000"
48,2395  ,研華            ,"181,622",0,"181,622"
49,5880  ,合庫金          ,"163,000",0,"163,000"
50,2383  ,台光電          ,"259,397","107,000","152,397"
51,1210  ,大成            ,"151,000",0,"151,000"
52,6526  ,達發            ,"147,000",0,"147,000"
53,9917  ,中保科          ,"144,000","4,000","140,000"
54,4766  ,南寶            ,"127,000",0,"127,000"
55,2368  ,金像電          ,"121,000",0,"121,000"
56,2603  ,長榮            ,"114,474",0,"114,474"
57,2912  ,統一超          ,"105,000","4,000","101,000"
58,4915  ,致伸            ,"219,000","119,665","99,335"
59,6112  ,邁達特          ,"92,000",0,"92,000"
60,3035  ,智原            ,"89,000","1,000","88,000"
61,4583  ,台灣精銳        ,"85,000",0,"85,000"
62,1319  ,東陽            ,"77,000",0,"77,000"
63,2393  ,億光            ,"235,000","163,000","72,000"
