,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3264.0,欣銓            ,"3,486",188.0,"3,298"
1,2,6274.0,台燿            ,"2,289",0.0,"2,289"
2,3,4979.0,華星光          ,976,130.0,846
3,4,6231.0,系微            ,649,0.0,649
4,5,6223.0,旺矽            ,154,10.0,144
5,6,5289.0,宜鼎            ,163,30.0,133
6,7,3078.0,僑威            ,85,0.0,85
7,8,3147.0,大綜            ,60,0.0,60
8,9,6510.0,精測            ,58,0.0,58
9,10,8936.0,國統            ,37,0.0,37
10,11,5274.0,信驊            ,35,0.0,35
11,12,6279.0,胡連            ,30,0.0,30
12,13,3357.0,臺慶科          ,49,31.0,18
13,14,3526.0,凡甲            ,20,2.0,18
14,15,5536.0,聖暉*           ,34,18.0,16
15,16,3088.0,艾訊            ,12,0.0,12
16,17,3558.0,神準            ,9,0.0,9
17,18,5009.0,榮剛            ,8,0.0,8
18,19,6187.0,萬潤            ,8,0.0,8
19,20,3675.0,德微            ,7,0.0,7
