,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,3231  ,緯創            ,"4,671,500","399,331","4,272,169"
1,2303  ,聯電            ,"6,007,000","2,620,522","3,386,478"
2,1802  ,台玻            ,"2,892,000",0,"2,892,000"
3,2027  ,大成鋼          ,"3,313,609","547,000","2,766,609"
4,6191  ,精成科          ,"1,958,000","106,000","1,852,000"
5,1442  ,名軒            ,"1,150,000",0,"1,150,000"
6,2368  ,金像電          ,"1,132,000",0,"1,132,000"
7,2880  ,華南金          ,"1,053,294","20,400","1,032,894"
8,00713 ,元大台灣高息低波,"800,000",0,"800,000"
9,3019  ,亞光            ,"778,000",0,"778,000"
10,2383  ,台光電          ,"758,000","8,152","749,848"
11,2379  ,瑞昱            ,"530,000","15,019","514,981"
12,00701 ,國泰股利精選30  ,"501,000",0,"501,000"
13,00878 ,國泰永續高股息  ,"501,000",0,"501,000"
14,2401  ,凌陽            ,"472,000",0,"472,000"
15,4977  ,眾達-KY         ,"446,000",0,"446,000"
16,2891  ,中信金          ,"520,150","81,701","438,449"
17,2886  ,兆豐金          ,"433,979","10,592","423,387"
18,2883B ,凱基金乙特      ,"401,000",0,"401,000"
19,9802  ,鈺齊-KY         ,"395,000",0,"395,000"
20,2328  ,廣宇            ,"393,000",0,"393,000"
21,3450  ,聯鈞            ,"385,000",0,"385,000"
22,2498  ,宏達電          ,"380,000","10,000","370,000"
23,2887  ,台新金          ,"345,000",0,"345,000"
24,2330  ,台積電          ,"439,000","94,698","344,302"
25,3665  ,貿聯-KY         ,"431,000","110,000","321,000"
26,2892  ,第一金          ,"289,516",0,"289,516"
27,2049  ,上銀            ,"287,614",0,"287,614"
28,2404  ,漢唐            ,"329,000","53,082","275,918"
29,3059  ,華晶科          ,"273,000",0,"273,000"
30,6781  ,AES-KY          ,"268,500",0,"268,500"
31,3189  ,景碩            ,"268,000",0,"268,000"
32,5522  ,遠雄            ,"275,000","13,000","262,000"
33,3035  ,智原            ,"217,000","1,000","216,000"
34,4583  ,台灣精銳        ,"234,000","19,000","215,000"
