,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,8086,宏捷科          ,0.0,907,-907.0
1,2,6274,台燿            ,0.0,659,-659.0
2,3,6223,旺矽            ,1.0,658,-657.0
3,4,3374,精材            ,505.0,"1,013",-508.0
4,5,00724B,群益投資級金融債,0.0,484,-484.0
5,6,3227,原相            ,0.0,301,-301.0
6,7,5347,世界            ,327.0,596,-269.0
7,8,6147,頎邦            ,0.0,206,-206.0
8,9,3293,鈊象            ,1.0,197,-196.0
9,10,8069,元太            ,11.0,151,-140.0
10,11,3689,湧德            ,0.0,140,-140.0
11,12,6488,環球晶          ,0.0,133,-133.0
12,13,3558,神準            ,0.0,108,-108.0
13,14,6138,茂達            ,0.0,90,-90.0
14,15,8299,群聯            ,0.0,75,-75.0
15,16,3680,家登            ,0.0,74,-74.0
16,17,6188,廣明            ,0.0,41,-41.0
17,18,6121,新普            ,12.0,49,-37.0
18,19,3218,大學光          ,0.0,25,-25.0
19,20,3324,雙鴻            ,0.0,25,-25.0
20,21,5508,永信建          ,0.0,10,-10.0
21,22,6679,鈺太            ,0.0,8,-8.0
22,23,5904,寶雅            ,0.0,4,-4.0
23,24,6146,耕興            ,0.0,3,-3.0
24,25,8358,金居            ,0.0,2,-2.0
25,26,6261,久元            ,0.0,2,-2.0
26,27,8050,廣積            ,0.0,2,-2.0
27,28,3078,僑威            ,0.0,2,-2.0
28,29,5903,全家            ,0.0,2,-2.0
29,30,5289,宜鼎            ,0.0,2,-2.0
30,31,3357,臺慶科          ,0.0,1,-1.0
31,32,3455,由田            ,0.0,1,-1.0
32,33,3526,凡甲            ,0.0,1,-1.0
33,34,5478,智冠            ,0.0,1,-1.0
34,35,5609,中菲行          ,0.0,1,-1.0
35,36,6732,昇佳電子        ,0.0,1,-1.0
36,37,8916,光隆            ,0.0,0,0.0
37,38,6023,元大期          ,0.0,0,0.0
38,39,4126,太醫            ,0.0,0,0.0
39,40,6803,崑鼎            ,0.0,0,0.0
40,41,5209,新鼎            ,0.0,0,0.0
