,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3374.0,精材            ,0.0,"1,353","-1,353"
1,2,5483.0,中美晶          ,34.0,452,-418
2,3,6147.0,頎邦            ,7.0,336,-329
3,4,3491.0,昇達科          ,0.0,300,-300
4,5,8299.0,群聯            ,1.0,282,-281
5,6,4966.0,譜瑞-KY         ,0.0,275,-275
6,7,5347.0,世界            ,432.0,618,-186
7,8,3293.0,鈊象            ,0.0,177,-177
8,9,6488.0,環球晶          ,0.0,173,-173
9,10,6182.0,合晶            ,0.0,119,-119
10,11,3217.0,優群            ,0.0,117,-117
11,12,3680.0,家登            ,0.0,113,-113
12,13,6829.0,千附精密        ,0.0,91,-91
13,14,6895.0,宏碩系統        ,0.0,82,-82
14,15,6121.0,新普            ,6.0,83,-77
15,16,4549.0,桓達            ,0.0,52,-52
16,17,5371.0,中光電          ,0.0,49,-49
17,18,8436.0,大江            ,0.0,27,-27
18,19,3529.0,力旺            ,0.0,23,-23
19,20,4162.0,智擎            ,0.0,21,-21
20,21,3131.0,弘塑            ,0.0,15,-15
21,22,6732.0,昇佳電子        ,0.0,14,-14
22,23,3152.0,璟德            ,0.0,10,-10
23,24,5508.0,永信建          ,0.0,8,-8
24,25,8358.0,金居            ,0.0,7,-7
25,26,6261.0,久元            ,0.0,7,-7
26,27,8050.0,廣積            ,0.0,6,-6
27,28,8069.0,元太            ,1.0,7,-6
28,29,8086.0,宏捷科          ,0.0,5,-5
29,30,3455.0,由田            ,0.0,4,-4
30,31,6146.0,耕興            ,0.0,3,-3
31,32,5904.0,寶雅            ,0.0,3,-3
32,33,6613.0,朋億*           ,0.0,3,-3
33,34,3211.0,順達            ,0.0,2,-2
34,35,3105.0,穩懋            ,0.0,1,-1
35,36,3227.0,原相            ,0.0,1,-1
36,37,8916.0,光隆            ,0.0,1,-1
37,38,6023.0,元大期          ,0.0,1,-1
38,39,4126.0,太醫            ,0.0,0,0
39,40,6803.0,崑鼎            ,0.0,0,0
40,41,5209.0,新鼎            ,0.0,0,0
