,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3078.0,僑威            ,"3,794",2.0,"3,792"
1,2,3264.0,欣銓            ,"1,287",10.0,"1,278"
2,3,4979.0,華星光          ,"1,248",517.0,731
3,4,6147.0,頎邦            ,766,79.0,687
4,5,3227.0,原相            ,328,0.0,328
5,6,8936.0,國統            ,200,0.0,200
6,7,5439.0,高技            ,185,0.0,185
7,8,5009.0,榮剛            ,152,7.0,145
8,9,6245.0,立端            ,135,0.0,135
9,10,6279.0,胡連            ,120,0.0,120
10,11,2066.0,世德            ,115,0.0,115
11,12,8069.0,元太            ,52,4.0,48
12,13,3529.0,力旺            ,58,11.0,47
13,14,4966.0,譜瑞-KY         ,33,0.0,33
14,15,6535.0,順藥            ,29,0.0,29
15,16,6510.0,精測            ,25,11.0,14
16,17,6811.0,宏碁資訊        ,14,0.0,14
17,18,6231.0,系微            ,13,0.0,13
18,19,4749.0,新應材          ,12,0.0,12
19,20,3169.0,亞信            ,7,0.0,7
20,21,3675.0,德微            ,4,0.0,4
