,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,6274.0,台燿            ,762.0,0.0,762.0
1,2,4979.0,華星光          ,668.0,100.0,568.0
2,3,6223.0,旺矽            ,749.0,205.0,544.0
3,4,3264.0,欣銓            ,665.0,148.0,517.0
4,5,3078.0,僑威            ,278.0,0.0,278.0
5,6,3227.0,原相            ,269.0,0.0,269.0
6,7,6231.0,系微            ,245.0,0.0,245.0
7,8,8936.0,國統            ,200.0,0.0,200.0
8,9,6147.0,頎邦            ,507.0,324.0,183.0
9,10,6535.0,順藥            ,117.0,0.0,117.0
10,11,6201.0,元大富櫃50      ,100.0,0.0,100.0
11,12,6568.0,宏觀            ,89.0,0.0,89.0
12,13,6679.0,鈺太            ,116.0,50.0,66.0
13,14,5009.0,榮剛            ,67.0,4.0,63.0
14,15,5289.0,宜鼎            ,60.0,15.0,45.0
15,16,6510.0,精測            ,45.0,0.0,45.0
16,17,3491.0,昇達科          ,95.0,60.0,35.0
17,18,4162.0,智擎            ,35.0,0.0,35.0
18,19,5536.0,聖暉*           ,30.0,0.0,30.0
19,20,6811.0,宏碁資訊        ,26.0,0.0,26.0
20,21,3163.0,波若威          ,20.0,0.0,20.0
21,22,3529.0,力旺            ,18.0,1.0,17.0
22,23,6187.0,萬潤            ,25.0,9.0,16.0
23,24,3675.0,德微            ,6.0,0.0,6.0
24,25,5274.0,信驊            ,7.0,2.0,5.0
25,26,3260.0,威剛            ,5.0,0.0,5.0
26,27,3357.0,臺慶科          ,10.0,6.0,4.0
27,28,4966.0,譜瑞-KY         ,3.0,0.0,3.0
28,29,1785.0,光洋科          ,2.0,0.0,2.0
29,30,3105.0,穩懋            ,1.0,0.0,1.0
30,31,6548.0,長科*           ,1.0,0.0,1.0
31,32,8927.0,北基            ,1.0,0.0,1.0
32,33,5443.0,均豪            ,1.0,0.0,1.0
33,34,5478.0,智冠            ,0.0,0.0,0.0
