,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3264.0,欣銓            ,"1,640",142.0,"1,498"
1,2,6104.0,創惟            ,870,30.0,840
2,3,4979.0,華星光          ,805,0.0,805
3,4,3131.0,弘塑            ,377,6.0,371
4,5,3081.0,聯亞            ,333,0.0,333
5,6,5009.0,榮剛            ,310,1.0,309
6,7,3293.0,鈊象            ,353,86.0,267
7,8,3163.0,波若威          ,263,0.0,263
8,9,5483.0,中美晶          ,118,8.0,110
9,10,6180.0,橘子            ,104,0.0,104
10,11,5536.0,聖暉*           ,81,5.0,76
11,12,6201.0,元大富櫃50      ,70,0.0,70
12,13,6245.0,立端            ,70,0.0,70
13,14,6187.0,萬潤            ,91,21.0,70
14,15,6223.0,旺矽            ,76,7.0,69
15,16,8938.0,明安            ,56,0.0,56
16,17,3227.0,原相            ,50,2.0,48
17,18,6683.0,雍智科技        ,35,0.0,35
18,19,6510.0,精測            ,19,0.0,19
19,20,6231.0,系微            ,18,0.0,18
20,21,4772.0,台特化          ,17,0.0,17
21,22,3529.0,力旺            ,8,1.0,7
22,23,3362.0,先進光          ,1,0.0,1
