,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3163.0,波若威          ,0.0,"1,231","-1,231"
1,2,3211.0,順達            ,30.0,"1,247","-1,217"
2,3,6223.0,旺矽            ,13.0,"1,219","-1,206"
3,4,3374.0,精材            ,25.0,716,-691
4,5,6274.0,台燿            ,0.0,502,-502
5,6,3131.0,弘塑            ,3.0,417,-414
6,7,5347.0,世界            ,514.0,877,-363
7,8,3324.0,雙鴻            ,0.0,318,-318
8,9,5483.0,中美晶          ,297.0,584,-287
9,10,6488.0,環球晶          ,50.0,299,-249
10,11,6640.0,均華            ,0.0,244,-244
11,12,6895.0,宏碩系統        ,0.0,237,-237
12,13,6104.0,創惟            ,0.0,210,-210
13,14,3680.0,家登            ,2.0,147,-145
14,15,6121.0,新普            ,8.0,143,-135
15,16,3217.0,優群            ,0.0,131,-131
16,17,3081.0,聯亞            ,0.0,100,-100
17,18,3491.0,昇達科          ,4.0,100,-96
18,19,5289.0,宜鼎            ,0.0,93,-93
19,20,6182.0,合晶            ,0.0,87,-87
20,21,3293.0,鈊象            ,17.0,98,-81
21,22,8299.0,群聯            ,70.0,147,-77
22,23,6683.0,雍智科技        ,0.0,76,-76
23,24,3363.0,上詮            ,0.0,50,-50
24,25,4991.0,環宇-KY         ,0.0,40,-40
25,26,6187.0,萬潤            ,0.0,16,-16
26,27,3152.0,璟德            ,0.0,10,-10
27,28,5508.0,永信建          ,0.0,10,-10
28,29,8086.0,宏捷科          ,0.0,5,-5
29,30,5904.0,寶雅            ,0.0,4,-4
30,31,1785.0,光洋科          ,0.0,3,-3
31,32,5371.0,中光電          ,0.0,3,-3
32,33,8358.0,金居            ,0.0,2,-2
33,34,6548.0,長科*           ,0.0,2,-2
34,35,6261.0,久元            ,0.0,2,-2
35,36,8050.0,廣積            ,0.0,2,-2
36,37,6146.0,耕興            ,0.0,2,-2
37,38,3105.0,穩懋            ,0.0,2,-2
38,39,4105.0,東洋            ,0.0,2,-2
39,40,6613.0,朋億*           ,0.0,1,-1
40,41,3357.0,臺慶科          ,0.0,1,-1
41,42,5478.0,智冠            ,0.0,1,-1
42,43,5536.0,聖暉*           ,3.0,4,-1
43,44,3455.0,由田            ,0.0,1,-1
44,45,5274.0,信驊            ,4.0,5,-1
45,46,5609.0,中菲行          ,0.0,1,-1
46,47,8927.0,北基            ,0.0,1,-1
47,48,8916.0,光隆            ,0.0,1,-1
48,49,6023.0,元大期          ,0.0,1,-1
49,50,3260.0,威剛            ,0.0,1,-1
50,51,6732.0,昇佳電子        ,0.0,1,-1
51,52,4126.0,太醫            ,0.0,0,0
52,53,6803.0,崑鼎            ,0.0,0,0
53,54,3362.0,先進光          ,0.0,0,0
54,55,5209.0,新鼎            ,0.0,0,0
55,56,8255.0,朋程            ,0.0,0,0
56,57,4772.0,台特化          ,0.0,0,0
57,58,3218.0,大學光          ,0.0,0,0
58,59,6643.0,M31             ,0.0,0,0
