,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,1802  ,台玻            ,"4,416,000",0,"4,416,000"
1,00713 ,元大台灣高息低波,"2,800,000",0,"2,800,000"
2,2618  ,長榮航          ,"2,847,000","62,174","2,784,826"
3,2472  ,立隆電          ,"2,504,000",0,"2,504,000"
4,2014  ,中鴻            ,"1,649,000",0,"1,649,000"
5,00878 ,國泰永續高股息  ,"1,501,000",0,"1,501,000"
6,2882  ,國泰金          ,"1,592,000","99,779","1,492,221"
7,3019  ,亞光            ,"1,452,000",0,"1,452,000"
8,1442  ,名軒            ,"1,150,000",0,"1,150,000"
9,2891  ,中信金          ,"1,191,000","57,865","1,133,135"
10,2368  ,金像電          ,"1,137,000","111,000","1,026,000"
11,00701 ,國泰股利精選30  ,"1,001,000",0,"1,001,000"
12,2313  ,華通            ,"977,000",0,"977,000"
13,2449  ,京元電子        ,"1,102,000","149,000","953,000"
14,2883  ,凱基金          ,"934,000","17,063","916,937"
15,3450  ,聯鈞            ,"892,000",0,"892,000"
16,2379  ,瑞昱            ,"849,000","9,566","839,434"
17,2301  ,光寶科          ,"1,146,000","315,447","830,553"
18,2303  ,聯電            ,"2,449,000","1,735,794","713,206"
19,3231  ,緯創            ,"728,000","63,928","664,072"
20,2609  ,陽明            ,"585,000",0,"585,000"
21,2401  ,凌陽            ,"463,000",0,"463,000"
22,0050  ,元大台灣50      ,"455,000",0,"455,000"
23,2404  ,漢唐            ,"461,000","24,000","437,000"
24,1101  ,台泥            ,"425,000","4,884","420,116"
25,2887  ,台新金          ,"414,000",918,"413,082"
26,2883B ,凱基金乙特      ,"401,000",0,"401,000"
27,2049  ,上銀            ,"394,000",101,"393,899"
28,2328  ,廣宇            ,"386,000",0,"386,000"
29,2393  ,億光            ,"388,000","18,000","370,000"
30,3592  ,瑞鼎            ,"361,000","2,769","358,231"
31,8464  ,億豐            ,"357,000",0,"357,000"
32,2603  ,長榮            ,"394,000","71,000","323,000"
33,2383  ,台光電          ,"315,000",0,"315,000"
34,3665  ,貿聯-KY         ,"323,000","9,000","314,000"
35,4583  ,台灣精銳        ,"325,000","20,000","305,000"
36,2892  ,第一金          ,"285,000","1,699","283,301"
37,3017  ,奇鋐            ,"354,000","78,000","276,000"
38,3059  ,華晶科          ,"268,000","2,000","266,000"
39,3189  ,景碩            ,"262,000",0,"262,000"
40,1102  ,亞泥            ,"256,000","2,151","253,849"
41,0056  ,元大高股息      ,"250,000",0,"250,000"
42,9802  ,鈺齊-KY         ,"336,000","95,000","241,000"
43,5522  ,遠雄            ,"271,000","47,000","224,000"
44,3035  ,智原            ,"212,000",0,"212,000"
45,2731  ,雄獅            ,"209,000",0,"209,000"
46,8028  ,昇陽半導體      ,"307,000","99,000","208,000"
47,6781  ,AES-KY          ,"203,000",0,"203,000"
48,8046  ,南電            ,"210,000","7,632","202,368"
49,2357  ,華碩            ,"417,000","219,599","197,401"
50,1216  ,統一            ,"263,000","68,000","195,000"
51,2365  ,昆盈            ,"192,000",0,"192,000"
