,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,2027  ,大成鋼          ,"7,537,000",0,"7,537,000"
1,2603  ,長榮            ,"1,562,000","45,000","1,517,000"
2,1319  ,東陽            ,"1,392,000",0,"1,392,000"
3,2891  ,中信金          ,"1,488,000","132,259","1,355,741"
4,1442  ,名軒            ,"1,050,000",0,"1,050,000"
5,6191  ,精成科          ,"1,041,000","109,000","932,000"
6,3019  ,亞光            ,"927,000",0,"927,000"
7,9938  ,百和            ,"856,000","9,000","847,000"
8,6206  ,飛捷            ,"730,000",0,"730,000"
9,2890  ,永豐金          ,"715,000","25,692","689,308"
10,2105  ,正新            ,"656,000","78,000","578,000"
11,2885  ,元大金          ,"576,000","39,000","537,000"
12,8210  ,勤誠            ,"534,000",0,"534,000"
13,2458  ,義隆            ,"540,000","37,167","502,833"
14,2395  ,研華            ,"424,000",0,"424,000"
15,5876  ,上海商銀        ,"435,000","16,000","419,000"
16,1101  ,台泥            ,"421,000","4,835","416,165"
17,2455  ,全新            ,"410,000","1,000","409,000"
18,3090  ,日電貿          ,"417,000","14,644","402,356"
19,2887  ,台新金          ,"392,000",909,"391,091"
20,006208,富邦台50        ,"372,000",0,"372,000"
21,2356  ,英業達          ,"336,000",0,"336,000"
22,2886  ,兆豐金          ,"401,000","80,931","320,069"
23,2348  ,海悅            ,"320,000",0,"320,000"
24,2049  ,上銀            ,"308,000",100,"307,900"
25,5522  ,遠雄            ,"360,000","63,698","296,302"
26,2845  ,遠東銀          ,"291,000",0,"291,000"
27,2357  ,華碩            ,"296,000","14,796","281,204"
28,3661  ,世芯-KY         ,"265,000",0,"265,000"
29,2441  ,超豐            ,"248,000",0,"248,000"
30,3665  ,貿聯-KY         ,"267,000","19,000","248,000"
31,1216  ,統一            ,"384,000","138,000","246,000"
32,1402  ,遠東新          ,"442,000","211,834","230,166"
33,2882  ,國泰金          ,"263,000","37,652","225,348"
34,3653  ,健策            ,"204,500",0,"204,500"
35,2379  ,瑞昱            ,"237,000","40,913","196,087"
36,6890  ,來億-KY         ,"194,000",0,"194,000"
37,2383  ,台光電          ,"372,000","190,000","182,000"
38,3443  ,創意            ,"174,000","1,282","172,718"
39,1210  ,大成            ,"174,000","10,000","164,000"
40,6412  ,群電            ,"180,000","19,000","161,000"
41,5269  ,祥碩            ,"213,000","70,173","142,827"
42,2883  ,凱基金          ,"179,000","42,892","136,108"
43,3706  ,神達            ,"132,000",0,"132,000"
44,0050  ,元大台灣50      ,"128,000",0,"128,000"
45,1590  ,亞德客-KY       ,"120,000",0,"120,000"
46,9921  ,巨大            ,"120,000",0,"120,000"
47,2382  ,廣達            ,"361,000","246,043","114,957"
48,3035  ,智原            ,"100,000","2,158","97,842"
49,2881  ,富邦金          ,"172,000","80,506","91,494"
50,6438  ,迅得            ,"85,000",0,"85,000"
51,2345  ,智邦            ,"83,800",0,"83,800"
52,2880  ,華南金          ,"234,000","151,201","82,799"
53,6768  ,志強-KY         ,"67,000",0,"67,000"
54,3596  ,智易            ,"129,000","63,000","66,000"
55,3533  ,嘉澤            ,"69,000","7,000","62,000"
56,2233  ,宇隆            ,"61,000",0,"61,000"
57,4968  ,立積            ,"58,000",0,"58,000"
58,2360  ,致茂            ,"140,000","82,758","57,242"
59,4551  ,智伸科          ,"54,000",0,"54,000"
60,2912  ,統一超          ,"53,000","1,000","52,000"
61,3454  ,晶睿            ,"50,000",0,"50,000"
62,6805  ,富世達          ,"65,000","20,000","45,000"
63,9917  ,中保科          ,"45,000","3,000","42,000"
64,3017  ,奇鋐            ,"152,000","112,000","40,000"
65,6196  ,帆宣            ,"39,000",0,"39,000"
66,3029  ,零壹            ,"40,000","6,000","34,000"
67,2412  ,中華電          ,"125,000","91,142","33,858"
68,2059  ,川湖            ,"36,000","11,000","25,000"
69,5880  ,合庫金          ,"25,000",0,"25,000"
70,6214  ,精誠            ,"30,000","5,000","25,000"
71,2327  ,國巨            ,"28,000","4,000","24,000"
72,6442  ,光聖            ,"24,000",0,"24,000"
73,2498  ,宏達電          ,"22,000",218,"21,782"
74,6669  ,緯穎            ,"21,500",0,"21,500"
75,3413  ,京鼎            ,"21,000",0,"21,000"
76,8045  ,達運光電        ,"18,000",0,"18,000"
77,2330  ,台積電          ,"74,000","59,417","14,583"
78,6781  ,AES-KY          ,"22,000","8,000","14,000"
79,2211  ,長榮鋼          ,"17,000","7,000","10,000"
80,4958  ,臻鼎-KY         ,"13,000","3,342","9,658"
81,4583  ,台灣精銳        ,"9,000",0,"9,000"
82,4576  ,大銀微系統      ,"5,000",0,"5,000"
83,2609  ,陽明            ,"4,000",0,"4,000"
84,6505  ,台塑化          ,"3,000",0,"3,000"
85,5434  ,崇越            ,"9,000","6,352","2,648"
86,2207  ,和泰車          ,"1,000",0,"1,000"
87,4766  ,南寶            ,"48,000","47,000","1,000"
88,6446  ,藥華藥          ,"1,000",0,"1,000"
89,6592A ,和潤企業甲特    ,"1,000",0,"1,000"
90,2618  ,長榮航          ,"41,000","8,809,172","-8,768,172"
91,2317  ,鴻海            ,"59,000","2,195,916","-2,136,916"
92,2303  ,聯電            ,"1,947,000","3,652,161","-1,705,161"
93,2892  ,第一金          ,"491,000","2,031,682","-1,540,682"
94,2903  ,遠百            ,0,"1,360,604","-1,360,604"
95,4938  ,和碩            ,"159,000","1,211,739","-1,052,739"
96,2353  ,宏碁            ,0,"930,372","-930,372"
97,2855  ,統一證          ,0,"892,269","-892,269"
98,3045  ,台灣大          ,"302,000","1,141,229","-839,229"
99,9933  ,中鼎            ,0,"798,000","-798,000"
100,3702  ,大聯大          ,0,"793,931","-793,931"
101,3037  ,欣興            ,"4,000","775,000","-771,000"
102,3711  ,日月光投控      ,"135,000","899,753","-764,753"
103,2368  ,金像電          ,"61,000","800,000","-739,000"
104,4904  ,遠傳            ,"377,000","1,087,164","-710,164"
105,00639 ,富邦深100       ,0,"615,000","-615,000"
106,2449  ,京元電子        ,0,"573,114","-573,114"
107,2347  ,聯強            ,0,"523,932","-523,932"
108,00752 ,中信中國50      ,0,"500,000","-500,000"
