,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3264.0,欣銓            ,"1,514",58.0,"1,456"
1,2,4979.0,華星光          ,474,0.0,474
2,3,8069.0,元太            ,451,2.0,449
3,4,3491.0,昇達科          ,416,0.0,416
4,5,3163.0,波若威          ,197,0.0,197
5,6,3131.0,弘塑            ,83,0.0,83
6,7,6245.0,立端            ,80,0.0,80
7,8,5009.0,榮剛            ,62,0.0,62
8,9,6613.0,朋億*           ,51,1.0,50
9,10,6104.0,創惟            ,100,60.0,40
10,11,6679.0,鈺太            ,37,0.0,37
11,12,5289.0,宜鼎            ,30,2.0,28
12,13,6535.0,順藥            ,23,0.0,23
13,14,6510.0,精測            ,19,0.0,19
14,15,6231.0,系微            ,3,0.0,3
