,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,2891  ,中信金          ,"9,552,000","166,472","9,385,528"
1,2027  ,大成鋼          ,"6,020,000",0,"6,020,000"
2,2890  ,永豐金          ,"4,898,000","13,511","4,884,489"
3,2303  ,聯電            ,"5,878,175","1,176,554","4,701,621"
4,2885  ,元大金          ,"4,492,000",0,"4,492,000"
5,2892  ,第一金          ,"4,018,000","3,992","4,014,008"
6,2886  ,兆豐金          ,"3,814,000","127,126","3,686,874"
7,1101  ,台泥            ,"2,989,000","11,477","2,977,523"
8,2330  ,台積電          ,"3,505,180","731,713","2,773,467"
9,2377  ,微星            ,"2,877,000","301,000","2,576,000"
10,2882  ,國泰金          ,"2,845,000","450,029","2,394,971"
11,2618  ,長榮航          ,"2,215,000",409,"2,214,591"
12,5876  ,上海商銀        ,"2,155,511",0,"2,155,511"
13,2324  ,仁寶            ,"2,132,000","19,026","2,112,974"
14,2356  ,英業達          ,"2,108,000",0,"2,108,000"
15,2883  ,凱基金          ,"2,069,000","40,094","2,028,906"
16,2357  ,華碩            ,"2,094,300","70,703","2,023,597"
17,2881  ,富邦金          ,"2,059,050","78,943","1,980,107"
18,2887  ,台新金          ,"1,879,000","2,156","1,876,844"
19,2884  ,玉山金          ,"2,013,000","188,683","1,824,317"
20,1216  ,統一            ,"1,793,000","24,000","1,769,000"
21,2454  ,聯發科          ,"1,654,781","42,143","1,612,638"
22,2002  ,中鋼            ,"1,490,481",0,"1,490,481"
23,2049  ,上銀            ,"1,421,000",237,"1,420,763"
24,2301  ,光寶科          ,"1,325,000","2,225","1,322,775"
25,3231  ,緯創            ,"1,312,000","2,179","1,309,821"
26,5880  ,合庫金          ,"1,298,000",0,"1,298,000"
27,3019  ,亞光            ,"1,287,000",0,"1,287,000"
28,2412  ,中華電          ,"1,258,837","53,081","1,205,756"
29,0056  ,元大高股息      ,"1,200,000",0,"1,200,000"
30,1402  ,遠東新          ,"1,140,000","9,100","1,130,900"
31,4904  ,遠傳            ,"1,109,150",388,"1,108,762"
32,9802  ,鈺齊-KY         ,"1,040,000",0,"1,040,000"
33,2880  ,華南金          ,"1,178,000","244,838","933,162"
34,3711  ,日月光投控      ,"1,225,151","308,510","916,641"
35,2610  ,華航            ,"908,000",861,"907,139"
36,2313  ,華通            ,"873,000",0,"873,000"
37,3045  ,台灣大          ,"1,208,000","346,158","861,842"
38,4938  ,和碩            ,"842,000",0,"842,000"
39,2395  ,研華            ,"832,245",0,"832,245"
40,2603  ,長榮            ,"791,949",0,"791,949"
41,3034  ,聯詠            ,"862,328","71,263","791,065"
42,3406  ,玉晶光          ,"778,000",0,"778,000"
43,6757  ,台灣虎航        ,"733,000",0,"733,000"
44,2105  ,正新            ,"716,000",0,"716,000"
45,1303  ,南亞            ,"685,547",0,"685,547"
46,2385  ,群光            ,"689,000","9,709","679,291"
47,2834  ,臺企銀          ,"664,000",0,"664,000"
48,6257  ,矽格            ,"654,286",0,"654,286"
49,006208,富邦台50        ,"643,000",0,"643,000"
50,2393  ,億光            ,"609,000",0,"609,000"
51,2845  ,遠東銀          ,"566,000",0,"566,000"
52,1301  ,台塑            ,"516,436",0,"516,436"
53,2379  ,瑞昱            ,"515,205",487,"514,718"
54,6768  ,志強-KY         ,"627,000","142,000","485,000"
55,1326  ,台化            ,"464,325",0,"464,325"
56,2401  ,凌陽            ,"406,000",0,"406,000"
57,00713 ,元大台灣高息低波,"400,000",0,"400,000"
58,2368  ,金像電          ,"681,000","316,000","365,000"
59,2328  ,廣宇            ,"339,000",0,"339,000"
60,3376  ,新日興          ,"622,000","311,152","310,848"
61,5522  ,遠雄            ,"304,349",0,"304,349"
62,2404  ,漢唐            ,"307,000","3,000","304,000"
63,2441  ,超豐            ,"282,000",0,"282,000"
64,6285  ,啟碁            ,"261,000","2,000","259,000"
65,2609  ,陽明            ,"254,000",0,"254,000"
66,2308  ,台達電          ,"605,657","351,795","253,862"
67,1477  ,聚陽            ,"393,000","142,000","251,000"
68,2474  ,可成            ,"242,594","1,000","241,594"
69,3059  ,華晶科          ,"235,000",0,"235,000"
70,8112  ,至上            ,"309,000","74,127","234,873"
71,3189  ,景碩            ,"231,000",0,"231,000"
72,2458  ,義隆            ,"235,679","8,000","227,679"
73,6278  ,台表科          ,"213,125",0,"213,125"
74,3029  ,零壹            ,"212,000",0,"212,000"
75,3008  ,大立光          ,"203,241",0,"203,241"
76,3596  ,智易            ,"199,000",0,"199,000"
77,6505  ,台塑化          ,"199,000",0,"199,000"
78,1504  ,東元            ,"183,000",0,"183,000"
