,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,5347,世界            ,96.0,"5,244","-5,148"
1,2,3374,精材            ,153.0,"2,932","-2,779"
2,3,8069,元太            ,118.0,816,-698
3,4,00933B,國泰10Y+金融債  ,0.0,500,-500
4,5,8086,宏捷科          ,0.0,417,-417
5,6,6147,頎邦            ,9.0,232,-223
6,7,6188,廣明            ,0.0,160,-160
7,8,3491,昇達科          ,34.0,189,-155
8,9,3324,雙鴻            ,0.0,115,-115
9,10,3217,優群            ,0.0,101,-101
10,11,6023,元大期          ,0.0,51,-51
11,12,6274,台燿            ,0.0,50,-50
12,13,3558,神準            ,0.0,47,-47
13,14,6121,新普            ,3.0,44,-41
14,15,8299,群聯            ,2.0,39,-37
15,16,5425,台半            ,0.0,34,-34
16,17,6643,M31             ,0.0,24,-24
17,18,5274,信驊            ,0.0,21,-21
18,19,3680,家登            ,1.0,19,-18
19,20,00724B,群益投資級金融債,0.0,16,-16
20,21,6640,均華            ,0.0,16,-16
21,22,8436,大江            ,0.0,16,-16
22,23,1785,光洋科          ,0.0,13,-13
23,24,3587,閎康            ,0.0,12,-12
24,25,6488,環球晶          ,0.0,11,-11
25,26,3479,安勤            ,0.0,10,-10
26,27,5508,永信建          ,0.0,9,-9
27,28,6182,合晶            ,0.0,7,-7
28,29,3105,穩懋            ,0.0,6,-6
29,30,5371,中光電          ,0.0,6,-6
30,31,3211,順達            ,0.0,5,-5
31,32,8358,金居            ,0.0,5,-5
32,33,6261,久元            ,0.0,5,-5
33,34,8050,廣積            ,0.0,4,-4
34,35,5904,寶雅            ,0.0,4,-4
35,36,5289,宜鼎            ,0.0,3,-3
36,37,8936,國統            ,0.0,3,-3
37,38,3260,威剛            ,0.0,3,-3
38,39,3357,臺慶科          ,0.0,2,-2
39,40,3455,由田            ,0.0,2,-2
40,41,6548,長科*           ,0.0,2,-2
41,42,8927,北基            ,0.0,2,-2
42,43,6613,朋億*           ,0.0,2,-2
43,44,4105,東洋            ,0.0,2,-2
44,45,4966,譜瑞-KY         ,0.0,1,-1
45,46,6732,昇佳電子        ,0.0,1,-1
46,47,6146,耕興            ,1.0,1,-1
47,48,5443,均豪            ,0.0,1,-1
48,49,5478,智冠            ,0.0,1,-1
49,50,6125,廣運            ,0.0,1,-1
50,51,8916,光隆            ,0.0,0,0
51,52,6279,胡連            ,0.0,0,0
52,53,4126,太醫            ,0.0,0,0
53,54,6803,崑鼎            ,0.0,0,0
54,55,5209,新鼎            ,0.0,0,0
