,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3374.0,精材            ,0.0,"1,435","-1,435"
1,2,3491.0,昇達科          ,22.0,"1,037","-1,015"
2,3,5347.0,世界            ,184.0,611,-427
3,4,6147.0,頎邦            ,0.0,363,-363
4,5,5483.0,中美晶          ,0.0,241,-241
5,6,6488.0,環球晶          ,0.0,194,-194
6,7,3211.0,順達            ,25.0,208,-183
7,8,6138.0,茂達            ,0.0,150,-150
8,9,6895.0,宏碩系統        ,0.0,140,-140
9,10,3293.0,鈊象            ,38.0,175,-137
10,11,6182.0,合晶            ,0.0,114,-114
11,12,8086.0,宏捷科          ,0.0,110,-110
12,13,5274.0,信驊            ,49.0,148,-99
13,14,6121.0,新普            ,0.0,96,-96
14,15,4768.0,晶呈科技        ,0.0,91,-91
15,16,6829.0,千附精密        ,0.0,91,-91
16,17,8299.0,群聯            ,8.0,90,-82
17,18,5371.0,中光電          ,0.0,46,-46
18,19,3217.0,優群            ,0.0,40,-40
19,20,4966.0,譜瑞-KY         ,0.0,35,-35
20,21,3227.0,原相            ,0.0,30,-30
21,22,3680.0,家登            ,0.0,30,-30
22,23,8436.0,大江            ,0.0,25,-25
23,24,6683.0,雍智科技        ,0.0,23,-23
24,25,5009.0,榮剛            ,0.0,20,-20
25,26,6274.0,台燿            ,0.0,18,-18
26,27,8358.0,金居            ,0.0,17,-17
27,28,6261.0,久元            ,0.0,16,-16
28,29,6732.0,昇佳電子        ,0.0,15,-15
29,30,8050.0,廣積            ,0.0,15,-15
30,31,3152.0,璟德            ,0.0,12,-12
31,32,3455.0,由田            ,0.0,8,-8
32,33,6146.0,耕興            ,0.0,8,-8
33,34,5536.0,聖暉*           ,0.0,7,-7
34,35,5508.0,永信建          ,0.0,7,-7
35,36,6613.0,朋億*           ,0.0,7,-7
36,37,5609.0,中菲行          ,0.0,5,-5
37,38,1785.0,光洋科          ,0.0,4,-4
38,39,3324.0,雙鴻            ,0.0,4,-4
39,40,5478.0,智冠            ,0.0,3,-3
40,41,5903.0,全家            ,0.0,3,-3
41,42,5904.0,寶雅            ,0.0,3,-3
42,43,8916.0,光隆            ,0.0,3,-3
43,44,6023.0,元大期          ,0.0,2,-2
44,45,4105.0,東洋            ,0.0,2,-2
45,46,4126.0,太醫            ,0.0,1,-1
46,47,3131.0,弘塑            ,0.0,1,-1
47,48,6803.0,崑鼎            ,0.0,1,-1
48,49,5209.0,新鼎            ,0.0,1,-1
49,50,3105.0,穩懋            ,0.0,0,0
