,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3374.0,精材            ,119.0,"1,525","-1,406"
1,2,3211.0,順達            ,0.0,469,-469
2,3,5483.0,中美晶          ,15.0,483,-468
3,4,3293.0,鈊象            ,29.0,326,-297
4,5,8299.0,群聯            ,14.0,251,-237
5,6,3131.0,弘塑            ,3.0,217,-213
6,7,6640.0,均華            ,0.0,200,-200
7,8,3680.0,家登            ,5.0,139,-134
8,9,3217.0,優群            ,0.0,132,-132
9,10,6829.0,千附精密        ,0.0,114,-114
10,11,6488.0,環球晶          ,0.0,89,-89
11,12,6895.0,宏碩系統        ,0.0,88,-88
12,13,5347.0,世界            ,438.0,508,-70
13,14,4768.0,晶呈科技        ,0.0,61,-61
14,15,6121.0,新普            ,15.0,76,-61
15,16,3324.0,雙鴻            ,0.0,60,-60
16,17,4991.0,環宇-KY         ,0.0,40,-40
17,18,3363.0,上詮            ,13.0,50,-37
18,19,3152.0,璟德            ,0.0,15,-15
19,20,8069.0,元太            ,6.0,20,-15
20,21,8358.0,金居            ,0.0,10,-10
21,22,6261.0,久元            ,0.0,9,-9
22,23,8050.0,廣積            ,0.0,8,-8
23,24,5508.0,永信建          ,0.0,8,-8
24,25,8086.0,宏捷科          ,0.0,6,-6
25,26,6182.0,合晶            ,0.0,5,-5
26,27,3455.0,由田            ,0.0,5,-5
27,28,6613.0,朋億*           ,0.0,4,-4
28,29,6146.0,耕興            ,0.0,3,-3
29,30,5904.0,寶雅            ,0.0,3,-3
30,31,6732.0,昇佳電子        ,0.0,3,-3
31,32,5371.0,中光電          ,0.0,2,-2
32,33,6180.0,橘子            ,0.0,2,-2
33,34,8436.0,大江            ,0.0,1,-1
34,35,8938.0,明安            ,0.0,1,-1
35,36,8916.0,光隆            ,0.0,1,-1
36,37,6023.0,元大期          ,0.0,1,-1
37,38,4126.0,太醫            ,0.0,0,0
38,39,6803.0,崑鼎            ,0.0,0,0
39,40,5209.0,新鼎            ,0.0,0,0
