,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,4979.0,華星光          ,"1,319",0.0,"1,319"
1,2,3264.0,欣銓            ,518,119.0,399
2,3,1815.0,富喬            ,294,0.0,294
3,4,6187.0,萬潤            ,218,0.0,218
4,5,4991.0,環宇-KY         ,200,0.0,200
5,6,6245.0,立端            ,190,0.0,190
6,7,3491.0,昇達科          ,276,100.0,176
7,8,6510.0,精測            ,117,0.0,117
8,9,3131.0,弘塑            ,109,1.0,108
9,10,3163.0,波若威          ,91,0.0,91
10,11,3211.0,順達            ,58,1.0,57
11,12,5009.0,榮剛            ,62,5.0,57
12,13,6613.0,朋億*           ,58,1.0,57
13,14,5483.0,中美晶          ,254,197.0,57
14,15,3081.0,聯亞            ,54,0.0,54
15,16,6104.0,創惟            ,40,0.0,40
16,17,5274.0,信驊            ,31,0.0,31
17,18,5536.0,聖暉*           ,55,28.0,27
18,19,3675.0,德微            ,24,0.0,24
19,20,3363.0,上詮            ,17,0.0,17
20,21,6231.0,系微            ,9,0.0,9
21,22,3529.0,力旺            ,3,2.0,0
