,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,2618  ,長榮航          ,"10,196,000","1,676,000","8,520,000"
1,2891  ,中信金          ,"6,588,000","494,700","6,093,300"
2,2606  ,裕民            ,"4,872,000","4,000","4,868,000"
3,2883  ,凱基金          ,"2,774,000",0,"2,774,000"
4,4904  ,遠傳            ,"2,955,000","526,000","2,429,000"
5,2404  ,漢唐            ,"1,804,000","33,575","1,770,425"
6,3596  ,智易            ,"1,718,000","152,000","1,566,000"
7,3045  ,台灣大          ,"2,040,000","687,000","1,353,000"
8,2885  ,元大金          ,"1,243,000","7,000","1,236,000"
9,3450  ,聯鈞            ,"1,172,000",0,"1,172,000"
10,1442  ,名軒            ,"1,152,000",0,"1,152,000"
11,1326  ,台化            ,"1,070,000","8,000","1,062,000"
12,2412  ,中華電          ,"1,059,000","33,140","1,025,860"
13,6505  ,台塑化          ,"1,032,000","7,143","1,024,857"
14,2603  ,長榮            ,"1,055,000","66,158","988,842"
15,1319  ,東陽            ,"1,885,000","928,000","957,000"
16,2313  ,華通            ,"1,015,000","106,000","909,000"
17,2637  ,慧洋-KY         ,"1,991,000","1,102,000","889,000"
18,9802  ,鈺齊-KY         ,"858,450",0,"858,450"
19,2890  ,永豐金          ,"838,000",0,"838,000"
20,2609  ,陽明            ,"941,000","112,000","829,000"
21,6176  ,瑞儀            ,"899,000","105,741","793,259"
22,00878 ,國泰永續高股息  ,"751,000",0,"751,000"
23,00701 ,國泰股利精選30  ,"701,000",0,"701,000"
24,3665  ,貿聯-KY         ,"922,000","263,000","659,000"
25,3231  ,緯創            ,"1,104,000","510,000","594,000"
26,2308  ,台達電          ,"600,000","22,630","577,370"
27,2845  ,遠東銀          ,"575,000",0,"575,000"
28,2354  ,鴻準            ,"551,000","6,000","545,000"
29,2401  ,凌陽            ,"470,000",0,"470,000"
30,2002  ,中鋼            ,"456,000","5,000","451,000"
31,2886  ,兆豐金          ,"450,000","17,591","432,409"
32,2892  ,第一金          ,"431,000",0,"431,000"
33,9904  ,寶成            ,"398,000",0,"398,000"
34,2328  ,廣宇            ,"392,000","2,000","390,000"
35,1714  ,和桐            ,"386,400",0,"386,400"
36,3592  ,瑞鼎            ,"387,000",770,"386,230"
37,2049  ,上銀            ,"368,000",0,"368,000"
38,2883B ,凱基金乙特      ,"358,000",0,"358,000"
39,2441  ,超豐            ,"355,000",0,"355,000"
40,2027  ,大成鋼          ,"389,000","47,000","342,000"
41,2615  ,萬海            ,"339,000",0,"339,000"
42,2887  ,台新金          ,"329,000",0,"329,000"
43,8112  ,至上            ,"465,000","148,537","316,463"
44,1101  ,台泥            ,"312,000",0,"312,000"
45,1210  ,大成            ,"301,000","3,000","298,000"
46,2393  ,億光            ,"403,000","111,000","292,000"
47,6139  ,亞翔            ,"280,000","2,000","278,000"
48,1216  ,統一            ,"616,000","341,161","274,839"
49,3059  ,華晶科          ,"272,000",0,"272,000"
50,2324  ,仁寶            ,"297,000","27,000","270,000"
51,3189  ,景碩            ,"267,000",0,"267,000"
52,5522  ,遠雄            ,"264,000",0,"264,000"
53,3703  ,欣陸            ,"245,000",0,"245,000"
54,6451  ,訊芯-KY         ,"269,000","32,000","237,000"
55,5880  ,合庫金          ,"233,000",0,"233,000"
56,3019  ,亞光            ,"229,000",0,"229,000"
57,2383  ,台光電          ,"509,000","294,000","215,000"
58,3035  ,智原            ,"214,000","4,000","210,000"
59,8046  ,南電            ,"219,000","15,635","203,365"
60,2365  ,昆盈            ,"195,000",0,"195,000"
61,2356  ,英業達          ,"202,000","13,000","189,000"
62,2379  ,瑞昱            ,"262,000","75,566","186,434"
63,6271  ,同欣電          ,"183,000",0,"183,000"
64,2882  ,國泰金          ,"176,000","3,000","173,000"
65,2464  ,盟立            ,"166,000",0,"166,000"
66,2545  ,皇翔            ,"156,000",0,"156,000"
67,2801  ,彰銀            ,"169,000","13,000","156,000"
68,2881  ,富邦金          ,"167,000","17,647","149,353"
69,2395  ,研華            ,"145,000","3,000","142,000"
70,2834  ,臺企銀          ,"138,000",0,"138,000"
71,4912  ,聯德控股-KY     ,"133,000",0,"133,000"
72,2548  ,華固            ,"145,000","15,000","130,000"
73,2597  ,潤弘            ,"121,000",0,"121,000"
74,1708  ,東鹼            ,"118,000",0,"118,000"
75,2454  ,聯發科          ,"199,000","87,752","111,248"
76,3645  ,達邁            ,"101,000",0,"101,000"
77,6789  ,采鈺            ,"97,000","2,000","95,000"
78,2206  ,三陽工業        ,"106,000","11,873","94,127"
79,6196  ,帆宣            ,"93,000",0,"93,000"
80,2480  ,敦陽科          ,"91,000",0,"91,000"
81,2231  ,為升            ,"89,000",0,"89,000"
82,2417  ,圓剛            ,"88,000",0,"88,000"
83,9914  ,美利達          ,"88,000",0,"88,000"
84,6112  ,邁達特          ,"87,000",0,"87,000"
85,6781  ,AES-KY          ,"87,000",0,"87,000"
86,2723  ,美食-KY         ,"86,000",0,"86,000"
87,3694  ,海華            ,"83,000",0,"83,000"
88,5388  ,中磊            ,"154,000","71,000","83,000"
89,5269  ,祥碩            ,"82,000",0,"82,000"
90,3029  ,零壹            ,"79,000",0,"79,000"
91,2408  ,南亞科          ,"90,000","13,000","77,000"
92,8131  ,福懋科          ,"76,000",0,"76,000"
93,6691  ,洋基工程        ,"74,000","1,762","72,238"
94,1597  ,直得            ,"70,000",0,"70,000"
95,4576  ,大銀微系統      ,"70,000",0,"70,000"
96,4977  ,眾達-KY         ,"70,000",0,"70,000"
97,6442  ,光聖            ,"69,000",0,"69,000"
98,2453  ,凌群            ,"68,000",0,"68,000"
99,2889  ,國票金          ,"65,000",0,"65,000"
100,3711  ,日月光投控      ,"455,000","390,000","65,000"
101,2707  ,晶華            ,"61,000",0,"61,000"
102,2348  ,海悅            ,"59,000","1,000","58,000"
103,8210  ,勤誠            ,"57,000",0,"57,000"
