,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,6274,台燿            ,0.0,600.0,-600.0
1,2,00724B,群益投資級金融債,0.0,500.0,-500.0
2,3,00933B,國泰10Y+金融債  ,0.0,500.0,-500.0
3,4,5483,中美晶          ,97.0,521.0,-424.0
4,5,6147,頎邦            ,0.0,413.0,-413.0
5,6,5347,世界            ,272.0,682.0,-410.0
6,7,3293,鈊象            ,0.0,274.0,-274.0
7,8,6829,千附精密        ,0.0,260.0,-260.0
8,9,3217,優群            ,0.0,243.0,-243.0
9,10,8299,群聯            ,0.0,220.0,-220.0
10,11,6121,新普            ,0.0,84.0,-84.0
11,12,3324,雙鴻            ,0.0,61.0,-61.0
12,13,6023,元大期          ,0.0,41.0,-41.0
13,14,6104,創惟            ,70.0,100.0,-30.0
14,15,6187,萬潤            ,0.0,26.0,-26.0
15,16,6488,環球晶          ,0.0,12.0,-12.0
16,17,5508,永信建          ,0.0,10.0,-10.0
17,18,6561,是方            ,0.0,10.0,-10.0
18,19,5274,信驊            ,13.0,20.0,-7.0
19,20,3131,弘塑            ,0.0,6.0,-6.0
20,21,6640,均華            ,0.0,5.0,-5.0
21,22,6679,鈺太            ,0.0,5.0,-5.0
22,23,8358,金居            ,0.0,5.0,-5.0
23,24,6261,久元            ,0.0,5.0,-5.0
24,25,8050,廣積            ,0.0,4.0,-4.0
25,26,5904,寶雅            ,0.0,4.0,-4.0
26,27,3680,家登            ,14.0,17.0,-3.0
27,28,4966,譜瑞-KY         ,0.0,3.0,-3.0
28,29,3357,臺慶科          ,0.0,2.0,-2.0
29,30,3455,由田            ,0.0,2.0,-2.0
30,31,5289,宜鼎            ,0.0,2.0,-2.0
31,32,6613,朋億*           ,0.0,2.0,-2.0
32,33,3211,順達            ,0.0,1.0,-1.0
33,34,6146,耕興            ,0.0,1.0,-1.0
34,35,6732,昇佳電子        ,0.0,1.0,-1.0
35,36,3078,僑威            ,0.0,1.0,-1.0
36,37,5609,中菲行          ,0.0,1.0,-1.0
