,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
0,2027  ,大成鋼          ,"14,452,000","407,000","14,045,000"
1,2303  ,聯電            ,"6,027,000","1,431,158","4,595,842"
2,2891  ,中信金          ,"3,875,000","338,699","3,536,301"
3,5876  ,上海商銀        ,"3,659,000","161,000","3,498,000"
4,2377  ,微星            ,"3,059,000","83,000","2,976,000"
5,2049  ,上銀            ,"2,551,000","1,000","2,550,000"
6,2324  ,仁寶            ,"2,121,000","223,000","1,898,000"
7,2886  ,兆豐金          ,"1,734,000","53,320","1,680,680"
8,2892  ,第一金          ,"1,693,000","26,000","1,667,000"
9,2880  ,華南金          ,"1,651,000","73,220","1,577,780"
10,2357  ,華碩            ,"1,405,500","32,000","1,373,500"
11,1101  ,台泥            ,"1,360,000","17,000","1,343,000"
12,3406  ,玉晶光          ,"1,196,000",0,"1,196,000"
13,2890  ,永豐金          ,"2,440,000","1,300,000","1,140,000"
14,1402  ,遠東新          ,"1,418,000","318,000","1,100,000"
15,3376  ,新日興          ,"1,020,000",0,"1,020,000"
16,2885  ,元大金          ,"1,723,000","863,000","860,000"
17,2379  ,瑞昱            ,"890,000","37,283","852,717"
18,3706  ,神達            ,"833,000","3,000","830,000"
19,2395  ,研華            ,"751,000","1,000","750,000"
20,2882  ,國泰金          ,"740,000","37,000","703,000"
21,6757  ,台灣虎航        ,"683,000",0,"683,000"
22,2887  ,台新金          ,"642,000","29,000","613,000"
23,2385  ,群光            ,"754,000","195,978","558,022"
24,6191  ,精成科          ,"550,000",0,"550,000"
25,2356  ,英業達          ,"707,000","166,000","541,000"
26,2845  ,遠東銀          ,"505,000","9,000","496,000"
27,2454  ,聯發科          ,"759,200","274,854","484,346"
28,2881  ,富邦金          ,"527,000","45,405","481,595"
29,1216  ,統一            ,"559,000","96,000","463,000"
30,4968  ,立積            ,"442,000",0,"442,000"
31,6285  ,啟碁            ,"547,000","108,000","439,000"
32,2883  ,凱基金          ,"460,000","59,000","401,000"
33,5871  ,中租-KY         ,"443,000","56,442","386,558"
34,1319  ,東陽            ,"362,000",0,"362,000"
35,2330  ,台積電          ,"758,000","405,926","352,074"
36,3034  ,聯詠            ,"593,000","242,289","350,711"
37,2412  ,中華電          ,"339,000","20,807","318,193"
38,2105  ,正新            ,"802,000","501,000","301,000"
39,6890  ,來億-KY         ,"296,000",0,"296,000"
40,2441  ,超豐            ,"297,000","2,000","295,000"
41,2204  ,中華            ,"300,000","8,290","291,710"
42,3044  ,健鼎            ,"293,000","2,000","291,000"
