,排行,代號,名稱,買進,賣出,買賣超(仟股)
0,1,3264.0,欣銓            ,"1,207",47.0,"1,160"
1,2,5009.0,榮剛            ,802,0.0,802
2,3,5536.0,聖暉*           ,289,6.0,283
3,4,6223.0,旺矽            ,290,16.0,274
4,5,5371.0,中光電          ,241,2.0,239
5,6,3131.0,弘塑            ,234,2.0,232
6,7,3078.0,僑威            ,202,0.0,202
7,8,4979.0,華星光          ,195,0.0,195
8,9,6245.0,立端            ,155,0.0,155
9,10,3211.0,順達            ,58,1.0,57
10,11,6535.0,順藥            ,39,0.0,39
11,12,6104.0,創惟            ,35,0.0,35
12,13,3529.0,力旺            ,67,34.0,33
13,14,3163.0,波若威          ,31,0.0,31
14,15,6231.0,系微            ,31,0.0,31
15,16,6180.0,橘子            ,28,0.0,28
16,17,6613.0,朋億*           ,33,7.0,26
17,18,3227.0,原相            ,18,0.0,18
18,19,8938.0,明安            ,15,0.0,15
19,20,6859.0,伯特光          ,12,0.0,12
20,21,3081.0,聯亞            ,61,52.0,9
21,22,3675.0,德微            ,6,0.0,6
22,23,5274.0,信驊            ,8,2.0,6
23,24,5904.0,寶雅            ,5,1.0,4
