股票代號,公司名稱,上市/櫃,今日價格,前9日加總買賣超,當日投信買賣超
3520,華盈,1,18.55,0,0
3521,鴻翊,1,16.40,0,0
3522,御嵿,1,25.60,0,0
3523,迎輝,1,20.25,0,0
3526,凡甲,1,277.50,23,0
3527,聚積,1,75.70,0,0
3529,力旺,1,3355.00,54,42
3531,先益,1,25.60,0,0
3537,堡達,1,50.50,0,0
3540,曜越,1,38.65,0,0
3541,西柏,1,28.20,0,0
3546,宇峻,1,76.60,0,0
3548,兆利,1,172.00,0,0
3551,世禾,1,126.00,0,0
3552,同致,1,87.90,0,0
3555,博士旺,1,32.95,0,0
3556,禾瑞亞,1,41.15,0,0
3558,神準,1,203.50,-211,0
3564,其陽,1,75.30,0,0
3567,逸昌,1,32.30,0,0
3570,大塚,1,173.50,0,0
3577,泓格,1,60.90,0,0
3580,友威科,1,78.40,0,0
3581,博磊,1,48.40,0,0
3587,閎康,1,240.50,-12,0
3594,磐儀,1,55.90,0,0
3597,映興,1,36.35,0,0
3609,三一東林,1,48.30,0,0
3611,鼎翰,1,211.00,0,0
3615,安可,1,27.35,0,0
3623,富晶通,1,23.15,0,0
3624,光頡,1,40.35,0,0
3625,西勝,1,18.45,0,0
3628,盈正,1,43.80,0,0
3629,地心引力,1,21.80,0,0
3630,新鉅科,1,27.80,0,0
3631,晟楠,1,41.40,0,0
3632,研勤,1,13.20,0,0
3646,艾恩特,1,29.00,0,0
3663,鑫科,1,63.10,0,0
3664,安瑞-KY,1,26.30,0,0
3666,光耀,1,33.90,0,0
3672,康聯訊,1,19.85,0,0
3675,德微,1,206.00,50,0
3680,家登,1,450.00,-859,-30
3684,榮昌,1,46.00,0,0
3685,元創精密,1,14.05,0,0
3687,歐買尬,1,94.10,0,0
3689,湧德,1,95.50,-140,0
3691,碩禾,1,70.70,0,0
3693,營邦,1,341.50,0,0
3707,漢磊,1,45.00,0,0
3709,鑫聯大投控,1,30.55,0,0
3710,連展投控,1,11.95,0,0
3713,新晶投控,1,22.85,0,0
4102,永日,1,30.65,0,0
4105,東洋,1,77.00,-4,-2
4107,邦特,1,124.00,0,0
4109,加捷生醫,1,23.15,0,0
4111,濟生,1,29.20,0,0
4113,聯上,1,26.10,0,0
4114,健喬,1,33.95,0,0
4116,明基醫,1,47.00,0,0
4120,友華,1,51.70,0,0
4121,優盛,1,18.45,0,0
4123,晟德,1,40.80,0,0
4126,太醫,1,93.20,-2,-1
4127,天良,1,39.60,0,0
4128,中天,1,32.20,0,0
4129,聯合,1,95.70,0,0
4130,健亞,1,23.75,0,0
4131,浩泰,1,31.80,0,0
4138,曜亞,1,91.50,0,0
4139,馬光-KY,1,30.40,0,0
4147,中裕,1,90.10,0,0
4153,鈺緯,1,37.40,0,0
4154,樂威科-KY,1,19.60,0,0
4157,太景*-KY,1,11.70,0,0
4160,訊聯基因,1,69.50,0,0
4161,聿新科,1,34.10,0,0
4162,智擎,1,120.50,14,0
4163,鐿鈦,1,111.50,0,0
4167,松瑞藥,1,21.45,0,0
4168,醣聯,1,24.75,0,0
4171,瑞基,1,28.00,0,0
4173,久裕,1,21.70,0,0
4174,浩鼎,1,61.70,0,0
4175,杏一,1,66.40,0,0
4183,福永生技,1,23.40,0,0
4188,安克,1,21.45,0,0
4192,杏國,1,36.20,0,0
4198,欣大健康,1,31.95,0,0
4205,中華食,1,86.00,0,0
4207,環泰,1,16.45,0,0
4303,信立,1,49.60,0,0
4304,勝昱,1,9.88,0,0
4305,世坤,1,43.00,0,0
4401,東隆興,1,20.15,0,0
4402,郡都開發,1,24.00,0,0
4406,新昕纖,1,10.75,0,0
4413,飛寶企業,1,17.45,0,0
4416,三圓,1,77.00,0,0
4417,金洲,1,42.85,0,0
4419,皇家美食,1,48.85,0,0
4420,光明,1,56.70,0,0
4430,耀億,1,22.60,0,0
4432,銘旺實,1,22.45,0,0
4433,興采,1,28.20,0,0
4442,竣邦-KY,1,47.95,0,0
4502,健信,1,19.10,0,0
4503,金雨,1,57.00,0,0
4506,崇友,1,103.00,0,0
4510,高鋒,1,43.50,0,0
4513,福裕,1,30.60,0,0
4523,永彰,1,33.35,0,0
4527,方土霖,1,50.30,0,0
4528,江興鍛,1,21.35,0,0
4529,淳紳,1,6.90,0,0
4530,宏易,1,12.85,0,0
4533,協易機,1,34.10,0,0
4534,慶騰,1,21.50,0,0
4535,至興,1,33.70,0,0
4538,大詠城,1,18.35,0,0
4541,晟田,1,35.35,0,0
4542,科嶠,1,84.00,0,0
4543,萬在,1,39.75,0,0
4549,桓達,1,175.50,-46,0
4550,長佳,1,29.75,0,0
4554,橙的,1,28.40,0,0
4556,旭然,1,31.30,0,0
4558,寶緯,1,33.80,0,0
4561,健椿,1,62.40,0,0
4563,百德,1,84.60,0,0
4568,科際精密,1,51.10,0,0
